concept,prompt
iasted-session_chair,classes liées au président de session : propriétés du délégué : obtenir
iasted-session_room,classes liées à la salle de séance : propriétés du lieu : est équipé par  est situé dans
iasted-shuttle_bus,classes liées aux navettes : véhicule de transport
iasted-simulating,simulation de classes associées : recherche
iasted-single_hotel_room,chambres d'hôtel individuelles classes connexes : chambre d'hôtel
iasted-social_program,cours liés aux programmes sociaux : activité de conférence  dîner et banquet propriétés : est conçu pour
iasted-speaker,classes liées au locuteur : auteur  délégué  non-orateur  évaluateur propriétés : donner  écrire
iasted-speaker_lecture,cours liés aux conférences avec conférencier : session
iasted-sponsor,classes liées au sponsor : propriétés de la personne : occuper
iasted-sponsor_city,classes liées à la ville sponsor : propriétés de la ville : est occupé par
iasted-sponsor_company_house,classes liées à la maison de l'entreprise sponsor : propriétés du bâtiment : est occupé par  est situé dans
iasted-sponsor_state,classes liées à l'état parrain : état
iasted-sponzorship,cours liés au parrainage : argent
iasted-state,classes liées à l'état : état de la conférence  état du présentateur  état du sponsor
iasted-student_lecturer,cours liés à l'étudiant-maître : maître de conférences
iasted-student_non_speaker,cours liés aux étudiants non locuteurs : non locuteur
iasted-student_registration_fee,cours liés aux frais d'inscription des étudiants : propriétés des frais d'inscription : est conçu pour
iasted-submission,classes liées à la soumission : document  manuscrit final  propriétés du manuscrit initial : est rédigé par
iasted-submissions_deadline,date limite de soumission pour les classes liées : date limite
iasted-tax,classes liées à la fiscalité : taxe de départ  argent  taxe sur la valeur ajoutée
iasted-taxi,cours liés au taxi : véhicule de transport
iasted-technic_activity,classes liées à l'activité technique : propriétés de l'activité de conférence : est donnée par
iasted-technical_commitee,classes liées au comité technique : propriétés déléguées : passer par
iasted-time,cours liés au temps : jours de conférence  date limite  propriétés du jour de voyage : a lieu après  a lieu avant  est présent  est envoyé après  est envoyé avant
iasted-time_zone,fuseau horaire
iasted-tip,classes liées aux pourboires : propriétés monétaires : est payé
iasted-transparency,classes liées à la transparence : propriétés du document : est préparée par
iasted-transport_vehicle,classes liées aux véhicules de transport : voiture  objet  navette  taxi  fourgonnette propriétés : est utilisé par
iasted-trip_city,cours liés à la ville : propriétés de la ville : est visité par
iasted-trip_day,cours liés au jour du voyage : propriétés temporelles : est conçu pour
iasted-tutorial,cours liés au tutoriel : cours magistral
iasted-tutorial_speaker,classes liées au haut-parleur du didacticiel : propriétés de l'auteur : parler dans
iasted-value_added_tax,classes liées à la taxe sur la valeur ajoutée : taxe
iasted-van,classes liées aux fourgonnettes : véhicule de transport
iasted-video_cassette_player,cours connexes aux lecteurs de cassettes vidéo : matériel audiovisuel
iasted-video_presentation,cours liés à la présentation vidéo : présentation
iasted-viza,classes liées à viza : propriétés du document : est nécessaire pour
iasted-welcome_address,discours de bienvenue cours liés : activité de conférence
iasted-worker_lecturer,cours liés au conférencier ouvrier : conférencier
iasted-worker_non_speaker,classes liées aux travailleurs non locuteurs : non locuteur
sigkdd-acm_sigkdd,Propriétés acm sigkdd : conception  conçu par  tenir  détenu par  rechercher  recherché par
sigkdd-abstract,cours associés au résumé : document
sigkdd-author,cours liés à l'auteur : auteur de l'article  auteur de l'article  étudiant  propriétés du locuteur : notification jusqu'à  obtenir  soumettre
sigkdd-author_of_paper,auteur de cours liés à l'article : propriétés de l'auteur : récompense
sigkdd-author_of_paper_student,auteur de l'article cours liés aux étudiants : propriétés de l'auteur : récompense
sigkdd-award,classes liées au prix : prix du meilleur article de candidature  prix du meilleur article de recherche  prix du meilleur article étudiant propriétés : récompenser  décerné par  obtenir
sigkdd-best_applications_paper_award,prix du meilleur article de candidature cours connexes : prix
sigkdd-best_paper_awards_committee,cours liés au comité des prix du meilleur article : comité
sigkdd-best_research_paper_award,prix du meilleur document de recherche cours connexes : prix
sigkdd-best_student_paper_award,prix du meilleur article étudiant cours connexes : prix
sigkdd-best_student_paper_supporter,meilleurs cours liés aux partisans des articles étudiants : sponsor
sigkdd-bronze_supporter,Classes liées au supporter bronze : sponsor
sigkdd-committee,cours liés aux comités : comité des prix du meilleur article  comité d'organisation  comité de programme
sigkdd-conference,propriétés de la conférence : ville de la conférence  fin de la conférence  attente  détenu par  nom de la conférence  début de la conférence
sigkdd-conference_hall,cours liés à la salle de conférence : lieu
sigkdd-deadline,classes liées à la date limite : date limite de soumission du résumé  date limite de notification de l'auteur  propriétés de la date limite de soumission des articles : date  conception  conçu par  soumettre jusqu'à
sigkdd-deadline_abstract_submission,cours liés à la soumission des résumés : date limite
sigkdd-deadline_author_notification,classes liées à la notification de l'auteur de la date limite : propriétés de la date limite : notification jusqu'au
sigkdd-deadline_paper_submission,date limite de soumission des documents pour les cours liés : date limite
sigkdd-document,classes liées au document : résumé  article  propriétés de révision : présentation  présenté par  soumettre jusqu'à
sigkdd-exhibitor,cours liés aux exposants : sponsor
sigkdd-fee,cours liés aux frais : frais d'inscription  frais de sponsor
sigkdd-general_chair,cours liés à la chaire générale : organisateur
sigkdd-gold_supporter,Classes liées aux supporters d'or : sponsor
sigkdd-hotel,cours liés à l'hôtellerie : lieu
sigkdd-invited_speaker,cours liés au conférencier invité : conférencier
sigkdd-listener,classes liées à l'auditeur : personne
sigkdd-main_office,cours liés au bureau principal : lieu
sigkdd-organizator,classes liées à l'organisateur : président général  membre du comité organisateur  personne  président du programme  membre du comité du programme  webmaster
sigkdd-organizing_committee,cours liés au comité d'organisation : comité
sigkdd-organizing_committee_member,Classes liées aux membres du comité organisateur : organisateur
sigkdd-paper,classes liées au papier : propriétés du document : soumettre
sigkdd-person,classes liées à la personne : auditeur  organisateur  propriétés du locuteur : peut rester  e-mail  nom  nation  payer  payé par
sigkdd-place,cours liés au lieu : salle de conférence  hôtel  bureau principal propriétés : peut rester dans
sigkdd-platinum_supporter,Classes liées aux supporters platine : sponsor
sigkdd-program_chair,classes liées à la chaire de programme : organisateur
sigkdd-program_committee,cours liés au comité de programme : comité
sigkdd-program_committee_member,classes liées aux membres du comité de programme : organisateur
sigkdd-registration_non-member,inscription cours non liés aux membres : frais d'inscription
sigkdd-registration_sigkdd_member,inscription aux cours liés aux membres sigkdd : frais d'inscription
sigkdd-registration_sigmod_member,inscription aux cours liés aux membres sigmod : frais d'inscription
sigkdd-registration_student,inscription aux cours liés aux étudiants : frais d'inscription
sigkdd-registration_fee,cours liés aux frais d'inscription : frais  inscription non membre  inscription membre sigkdd  inscription membre sigmod  inscription étudiant propriétés : devise  salaire  payé par  prix
sigkdd-review,réviser les cours associés : document
sigkdd-silver_supporter,Classes liées aux supporters argentés : sponsor
sigkdd-speaker,cours liés au conférencier : auteur  conférencier invité  propriétés de la personne : présentation  présenté par
sigkdd-sponzor,classes liées au sponsor : meilleur supporteur étudiant  supporteur bronze  exposant  supporteur or  supporteur platine  supporteur argent propriétés : nom du sponsor  recherche  recherché par
sigkdd-sponzor_fee,Cours liés aux frais de parrainage : frais
sigkdd-webmaster,Cours liés au webmaster : organisateur
