concept,prompt
confious-review_form,Le formulaire de révision exactement 1 de est créé dans exactement 1 de la structure de révision de la structure créée par un comité de programme  un auteur a une structure de programme de programme d'auteur uniquement la structure créée par le comité de programme président  certains sont créés dans l'article du processus de révision de niveau inférieur
confious-reviewing_proces,Examen de l'activité proces
confious-start_date_of_abstract_submission,Date de début de la soumission abstraite Date de soumission abstraite
confious-start_date_of_camera-ready_submission,Date de début de la soumission de soumission de soumission de la caméra prête pour la caméra
confious-start_date_of_conference,Date de début de la date de conférence de la conférence
confious-start_date_of_full_paper_submission,Date de début de la soumission complète du papier Date de soumission du papier complet
confious-submission_process,Processus de soumission Certains sont suivis d'une affectation en papier exactement 1 de l'activité  un document de papier est préoccupé
confious-summary_of_reviews,Résumé des revues Some Author Author Senior Program Committee Member Some Coree Coree Review Un peu est créé dans le processus d'examen de niveau supérieur exactement 1 de est créé dans l'article
confious-topic,sujet
confious-upper_tier_reviewing_process,Processus de révision de niveau supérieur Certains sont suivis de la notification Certains ont un résumé des résultats des examens examinant les proces unique
confious-thing,Conférence de conférence de conférence Configuration de la conférence URL
cocus-abstract,Document abstrait
cocus-account,Compte
cocus-activity,Activité Événement Approbation Événement Création d'enregistrement Document ou personne d'événement
cocus-admin_role,Rôle de rôle de l'administrateur
cocus-administrator,Administrateur Personne Certains exécutent l'approbation de l'événement Some Approuver l'événement Rôle de l'événement
cocus-approval_email,Événement par e-mail d'approbation par e-mail
cocus-assistance,Demande d'aide d'assistance
cocus-author,Auteur Utilisateur Some Supprimer l'auteur Some Recevoir Approbation Email ou Rejection Email Some Ajouter l'auteur Some Execute Event Creation Correspondant Auteur
cocus-author_role,Rôle de rôle de l'auteur
cocus-committe_role,Rôle de rôle de comité
cocus-committee,Utilisateur de comité
cocus-conference,Événement de conférence
cocus-corresponding_author,Auteur correspondant
cocus-description,Description
cocus-detail,Détail Thoide un peu modifié par la personne
cocus-document,Document Thoise Quelque chose par le modèle de révision de la personne
cocus-email,Email par e-mail par e-mail de la personne Rejet de document Email Approbation AMAIL EMAIL EMAIL EMAIL EMAIL
cocus-email_template,Configuration de l'événement du modèle de messagerie
cocus-event,Événement certains conistes de pistes d'événements Thing Some Confirmed by Approval Email Symposium Workshop Conference Administrateur Approbation Email Tracks Event Tours Configuration de l'événement
cocus-event_approval,L'activité d'approbation des événements n'a que le courrier électronique d'approbation des résultats
cocus-event_creation,Activité de création d'événements Un certain événement a un événement de résultat
cocus-event_setup,Configuration de l'événement Sujet de recherche Modèle de messagerie Typologies Typologies Réviser le modèle de soumission Modèle d'événement Pistes d'événements
cocus-event_tracks,Configuration des événements d'événements
cocus-event_url,URL de l'événement URL Un événement d'événement concerné
cocus-feature_request,Demande de demande d'aide de la demande
cocus-full_paper,Papier complet
cocus-group_email,E-mail de groupe e-mail
cocus-head_role,Rôle de rôle
cocus-help_request,AIDE DEMANDE DEMANDE Assistance Fonctionnement de la fonctionnalité Misc
cocus-inforamtion,Information
cocus-invited_paper,Papier de papier invité
cocus-misc,Demande d'aide à mission
cocus-notification_email,E-mail de notification e-mail
cocus-paper,Papier certains soumis par un document d'auteur correspondant abstrait papier complet de papier court court papier invité
cocus-paper_typologies,Configuration des événements de typologies papier
cocus-person,Person Thing certains obtiennent l'administrateur de l'information Activité de la personne ou le rôle d'informations de rôle Document de compte ou de compte ou de détachement
cocus-preview,Formulaire de révision de prévisualisation
cocus-registration,Activité d'enregistrement Certains ont un résultat utilisateur
cocus-rejection_email,E-mail de rejet e-mail
cocus-request,Demande d'aide à l'activité Demande
cocus-research_topic,Configuration de l'événement du sujet de recherche
cocus-review,Examen du document
cocus-review_form,Revoi du formulaire Configuration de l'événement Aperçu de la configuration du formulaire de révision
cocus-review_form_setup,Formulaire de configuration du formulaire de révision
cocus-reviewer_role,Rôle de rôle
cocus-role,Rôle certains attribués par l'administrateur Choix Rôle Rôle Rôle Comité Comité Rôle Rôle Rôle Administrateur Administrateur
cocus-short_paper,Papier court
cocus-submission,Document de soumission
cocus-submission_template,Configuration de l'événement du modèle de soumission
cocus-symposium,Événement de symposium
cocus-template,Document de modèle utilisé par la personne
cocus-url,URL de l'événement URL
cocus-user,Utilisateur certains participent à l'événement Personne certains envoient un document de comité d'aide au comité ou un document d'événement
cocus-workshop,Événement d'atelier
cocus-thing,Chose Person Detail Event Rôle Document
