concept,prompt
cocus-head_role,Head Role Role
cocus-help_request,Help Request Request Feature Request Misc Assistance
cocus-inforamtion,Inforamtion 
cocus-invited_paper,Invited Paper Paper
cocus-misc,Misc Help Request
cocus-notification_email,Notification Email Email
cocus-paper,Paper Document some submited  by Corresponding Author Short Paper Full Paper Invited Paper Abstract
cocus-paper_typologies,Paper Typologies Event Setup
cocus-person,Person Thing some get Inforamtion Administrator User Person Activity or Role Inforamtion Document or Person Account or Detail Account Activity Event Document
cocus-preview,Preview Review Form
cocus-registration,Registration Activity some has result User
cocus-rejection_email,Rejection Email Email
cocus-request,Request Activity Help Request
cocus-research_topic,Research Topic Event Setup
cocus-review,Review Document
cocus-review_form,Review Form Event Setup Review Form Setup Preview
cocus-review_form_setup,Review Form Setup Review Form
cocus-reviewer_role,Reviewer Role Role
cocus-role,Role Thing some assigned by Administrator Admin Role Committe Role Reviewer Role Author Role Head Role Administrator
cocus-short_paper,Short Paper Paper
cocus-submission,Submission Document
cocus-submission_template,Submission Template Event Setup
cocus-symposium,Symposium Event
cocus-template,Template Document some used by Person
cocus-url,URL Event URL
cocus-user,User some take part in Event some send Help Request Person Author Committee Document or Event Document
cocus-workshop,Workshop Event
cocus-thing,Thing Detail Role Document Person Event
